"repeat_id","arm","auroc","pr_auc","balanced_accuracy","mcc","sensitivity","specificity","brier_score"
17,"guarded_within_partition",0.687451560628479,0.341401254168155,0.592686535616149,0.246402360061679,0.245614035087719,0.939759036144578,0.146989501583613
18,"guarded_within_partition",0.73973085323751,0.398313031987783,0.583914605791587,0.226622612685861,0.228070175438596,0.939759036144578,0.140263731892713
19,"guarded_within_partition",0.742760515747199,0.395271094686604,0.592686535616149,0.246402360061679,0.245614035087719,0.939759036144578,0.137659986208427
20,"guarded_within_partition",0.700838441485239,0.314424907222247,0.575882477277531,0.193089352860045,0.228070175438596,0.923694779116466,0.155448189766339
21,"guarded_within_partition",0.702529415909249,0.317397912513994,0.573134643838512,0.19750988410405,0.210526315789474,0.93574297188755,0.150583636198743
22,"guarded_within_partition",0.671950961741704,0.314676995691467,0.560346649756922,0.160428446516783,0.192982456140351,0.927710843373494,0.154944207936343
23,"guarded_within_partition",0.732121468329458,0.371701579404862,0.548087085182837,0.155159296260502,0.140350877192982,0.955823293172691,0.139876591373713
24,"guarded_within_partition",0.721341506376382,0.440253851369983,0.616254491650814,0.313960798431293,0.280701754385965,0.951807228915663,0.134579115382006
25,"guarded_within_partition",0.755795110265622,0.435764873227617,0.590678503487635,0.237441306236993,0.245614035087719,0.93574297188755,0.134729779223111
26,"guarded_within_partition",0.707602339181287,0.307517105809036,0.508243500317058,0.0330684978833747,0.0526315789473684,0.963855421686747,0.146379539314619
27,"guarded_within_partition",0.731416895652786,0.369430288683336,0.538046924540266,0.110193627272971,0.140350877192982,0.93574297188755,0.141002041848222
28,"guarded_within_partition",0.765588670471359,0.426806715788661,0.594694567744663,0.255735341267671,0.245614035087719,0.943775100401606,0.133641882820181
29,"guarded_within_partition",0.746424293665891,0.40702423362118,0.543331219615303,0.151568523434269,0.12280701754386,0.963855421686747,0.133778218950131
30,"guarded_within_partition",0.722327908123722,0.356943613792718,0.548826886493342,0.141415155000312,0.157894736842105,0.939759036144578,0.143414709068768
1,"leaky_global_selection",0.84217572042556,0.48968726762355,0.589198900866624,0.281014406839136,0.210526315789474,0.967871485943775,0.119030821698649
2,"leaky_global_selection",0.804692454026632,0.513266014461621,0.575142675967026,0.206286007416593,0.210526315789474,0.939759036144578,0.121677576784211
3,"leaky_global_selection",0.78616219263017,0.383083795415852,0.536567321919256,0.136271428506117,0.105263157894737,0.967871485943775,0.131368057419802
4,"leaky_global_selection",0.812654125273022,0.510052918888437,0.566899175649968,0.241265786297404,0.157894736842105,0.975903614457831,0.119553201789673
5,"leaky_global_selection",0.807581202000987,0.425903277735351,0.561614880574931,0.181968230666937,0.175438596491228,0.947791164658635,0.124682869651735
6,"leaky_global_selection",0.803917424082294,0.429170329560649,0.572394842528007,0.213804867936281,0.192982456140351,0.951807228915663,0.128402798953574
7,"leaky_global_selection",0.771788910026067,0.38684895380699,0.548087085182837,0.155159296260502,0.140350877192982,0.955823293172691,0.131894278800544
8,"leaky_global_selection",0.787148594377508,0.464830637540927,0.597970830691186,0.301739252487904,0.228070175438596,0.967871485943775,0.124727824851905
