"repeat_id","outer_fold","arm","best_cost","cost","mean_inner_balanced_accuracy"
6,2,"guarded_within_partition",4,0.25,0.537863247863248
6,2,"guarded_within_partition",4,1,0.542991452991453
6,2,"guarded_within_partition",4,4,0.551538461538462
6,3,"leaky_global_selection",0.25,0.25,0.629252136752137
6,3,"leaky_global_selection",0.25,1,0.609529914529914
6,3,"leaky_global_selection",0.25,4,0.581196581196581
6,3,"guarded_within_partition",0.25,0.25,0.624465811965812
6,3,"guarded_within_partition",0.25,1,0.593354700854701
6,3,"guarded_within_partition",0.25,4,0.57974358974359
6,4,"leaky_global_selection",0.25,0.25,0.59
6,4,"leaky_global_selection",0.25,1,0.581388888888889
6,4,"leaky_global_selection",0.25,4,0.564166666666667
6,4,"guarded_within_partition",1,0.25,0.572713675213675
6,4,"guarded_within_partition",1,1,0.577435897435897
6,4,"guarded_within_partition",1,4,0.551602564102564
6,5,"leaky_global_selection",0.25,0.25,0.586538461538462
6,5,"leaky_global_selection",0.25,1,0.561474358974359
6,5,"leaky_global_selection",0.25,4,0.561410256410256
6,5,"guarded_within_partition",0.25,0.25,0.535299145299145
6,5,"guarded_within_partition",0.25,1,0.50801282051282
6,5,"guarded_within_partition",0.25,4,0.50801282051282
7,1,"leaky_global_selection",0.25,0.25,0.599166666666667
7,1,"leaky_global_selection",0.25,1,0.565555555555555
7,1,"leaky_global_selection",0.25,4,0.576666666666667
7,1,"guarded_within_partition",0.25,0.25,0.565555555555556
7,1,"guarded_within_partition",0.25,1,0.550555555555556
7,1,"guarded_within_partition",0.25,4,0.560555555555556
7,2,"leaky_global_selection",4,0.25,0.604594017094017
7,2,"leaky_global_selection",4,1,0.609594017094017
7,2,"leaky_global_selection",4,4,0.626816239316239
7,2,"guarded_within_partition",1,0.25,0.59
7,2,"guarded_within_partition",1,1,0.598611111111111
7,2,"guarded_within_partition",1,4,0.5875
7,3,"leaky_global_selection",0.25,0.25,0.594102564102564
7,3,"leaky_global_selection",0.25,1,0.531111111111111
7,3,"leaky_global_selection",0.25,4,0.518611111111111
7,3,"guarded_within_partition",0.25,0.25,0.550363247863248
7,3,"guarded_within_partition",0.25,1,0.538333333333333
7,3,"guarded_within_partition",0.25,4,0.540299145299145
7,4,"leaky_global_selection",0.25,0.25,0.546346153846154
7,4,"leaky_global_selection",0.25,1,0.519123931623932
7,4,"leaky_global_selection",0.25,4,0.50801282051282
7,4,"guarded_within_partition",1,0.25,0.56258547008547
7,4,"guarded_within_partition",1,1,0.571068376068376
7,4,"guarded_within_partition",1,4,0.565021367521368
7,5,"leaky_global_selection",1,0.25,0.583482905982906
7,5,"leaky_global_selection",1,1,0.59965811965812
7,5,"leaky_global_selection",1,4,0.561324786324786
7,5,"guarded_within_partition",0.25,0.25,0.578290598290598
7,5,"guarded_within_partition",0.25,1,0.574679487179487
7,5,"guarded_within_partition",0.25,4,0.574679487179487
8,1,"leaky_global_selection",4,0.25,0.582371794871795
8,1,"leaky_global_selection",4,1,0.574935897435897
8,1,"leaky_global_selection",4,4,0.603482905982906
8,1,"guarded_within_partition",1,0.25,0.590982905982906
8,1,"guarded_within_partition",1,1,0.60715811965812
8,1,"guarded_within_partition",1,4,0.598611111111111
8,2,"leaky_global_selection",0.25,0.25,0.526047008547009
8,2,"leaky_global_selection",0.25,1,0.518418803418803
8,2,"leaky_global_selection",0.25,4,0.49474358974359
8,2,"guarded_within_partition",1,0.25,0.531880341880342
8,2,"guarded_within_partition",1,1,0.554102564102564
8,2,"guarded_within_partition",1,4,0.549166666666667
8,3,"leaky_global_selection",0.25,0.25,0.573888888888889
8,3,"leaky_global_selection",0.25,1,0.560277777777778
8,3,"leaky_global_selection",0.25,4,0.565277777777778
8,3,"guarded_within_partition",0.25,0.25,0.530363247863248
8,3,"guarded_within_partition",0.25,1,0.527799145299145
8,3,"guarded_within_partition",0.25,4,0.527799145299145
8,4,"leaky_global_selection",0.25,0.25,0.638333333333333
8,4,"leaky_global_selection",0.25,1,0.564166666666667
8,4,"leaky_global_selection",0.25,4,0.571388888888889
8,4,"guarded_within_partition",0.25,0.25,0.645555555555556
8,4,"guarded_within_partition",0.25,1,0.59
8,4,"guarded_within_partition",0.25,4,0.608611111111111
8,5,"leaky_global_selection",4,0.25,0.541538461538462
8,5,"leaky_global_selection",4,1,0.557649572649573
8,5,"leaky_global_selection",4,4,0.566260683760684
8,5,"guarded_within_partition",1,0.25,0.574935897435897
8,5,"guarded_within_partition",1,1,0.605705128205128
8,5,"guarded_within_partition",1,4,0.585982905982906
9,1,"leaky_global_selection",0.25,0.25,0.520705128205128
9,1,"leaky_global_selection",0.25,1,0.501111111111111
9,1,"leaky_global_selection",0.25,4,0.498482905982906
9,1,"guarded_within_partition",0.25,0.25,0.569807692307692
9,1,"guarded_within_partition",0.25,1,0.566196581196581
9,1,"guarded_within_partition",0.25,4,0.569807692307692
9,2,"leaky_global_selection",4,0.25,0.59
9,2,"leaky_global_selection",4,1,0.573888888888889
9,2,"leaky_global_selection",4,4,0.593611111111111
9,2,"guarded_within_partition",1,0.25,0.552777777777778
9,2,"guarded_within_partition",1,1,0.58
9,2,"guarded_within_partition",1,4,0.561388888888889
9,3,"leaky_global_selection",4,0.25,0.54801282051282
9,3,"leaky_global_selection",4,1,0.576880341880342
9,3,"leaky_global_selection",4,4,0.584380341880342
9,3,"guarded_within_partition",0.25,0.25,0.597649572649573
9,3,"guarded_within_partition",0.25,1,0.582863247863248
9,3,"guarded_within_partition",0.25,4,0.591474358974359
9,4,"leaky_global_selection",1,0.25,0.566260683760684
9,4,"leaky_global_selection",1,1,0.588418803418803
9,4,"leaky_global_selection",1,4,0.563696581196581
9,4,"guarded_within_partition",1,0.25,0.584465811965812
9,4,"guarded_within_partition",1,1,0.612863247863248
9,4,"guarded_within_partition",1,4,0.588141025641026
9,5,"leaky_global_selection",0.25,0.25,0.557991452991453
9,5,"leaky_global_selection",0.25,1,0.510833333333333
9,5,"leaky_global_selection",0.25,4,0.519444444444444
9,5,"guarded_within_partition",4,0.25,0.560021367521368
9,5,"guarded_within_partition",4,1,0.568632478632479
9,5,"guarded_within_partition",4,4,0.577179487179487
10,1,"leaky_global_selection",4,0.25,0.613141025641026
10,1,"leaky_global_selection",4,1,0.593547008547009
10,1,"leaky_global_selection",4,4,0.619252136752137
10,1,"guarded_within_partition",1,0.25,0.563696581196581
10,1,"guarded_within_partition",1,1,0.569807692307692
10,1,"guarded_within_partition",1,4,0.553696581196581
10,2,"leaky_global_selection",0.25,0.25,0.644444444444444
10,2,"leaky_global_selection",0.25,1,0.625769230769231
10,2,"leaky_global_selection",0.25,4,0.64215811965812
10,2,"guarded_within_partition",1,0.25,0.546880341880342
10,2,"guarded_within_partition",1,1,0.560491452991453
