"repeat_id","outer_fold","arm","rank","feature"
1,2,"leaky_global_selection",72,"209386_at"
1,2,"leaky_global_selection",73,"221203_s_at"
1,2,"leaky_global_selection",74,"203712_at"
1,2,"leaky_global_selection",75,"219197_s_at"
1,2,"leaky_global_selection",76,"204315_s_at"
1,2,"leaky_global_selection",77,"210024_s_at"
1,2,"leaky_global_selection",78,"202933_s_at"
1,2,"leaky_global_selection",79,"221864_at"
1,2,"leaky_global_selection",80,"203418_at"
1,2,"leaky_global_selection",81,"219752_at"
1,2,"leaky_global_selection",82,"214109_at"
1,2,"leaky_global_selection",83,"204012_s_at"
1,2,"leaky_global_selection",84,"209173_at"
1,2,"leaky_global_selection",85,"209781_s_at"
1,2,"leaky_global_selection",86,"201663_s_at"
1,2,"leaky_global_selection",87,"212022_s_at"
1,2,"leaky_global_selection",88,"207039_at"
1,2,"leaky_global_selection",89,"211466_at"
1,2,"leaky_global_selection",90,"206754_s_at"
1,2,"leaky_global_selection",91,"221934_s_at"
1,2,"leaky_global_selection",92,"210074_at"
1,2,"leaky_global_selection",93,"203066_at"
1,2,"leaky_global_selection",94,"209421_at"
1,2,"leaky_global_selection",95,"209603_at"
1,2,"leaky_global_selection",96,"209408_at"
1,2,"leaky_global_selection",97,"203397_s_at"
1,2,"leaky_global_selection",98,"205074_at"
1,2,"leaky_global_selection",99,"202240_at"
1,2,"leaky_global_selection",100,"202341_s_at"
1,2,"guarded_within_partition",1,"200718_s_at"
1,2,"guarded_within_partition",2,"204750_s_at"
1,2,"guarded_within_partition",3,"205225_at"
1,2,"guarded_within_partition",4,"212960_at"
1,2,"guarded_within_partition",5,"212956_at"
1,2,"guarded_within_partition",6,"204012_s_at"
1,2,"guarded_within_partition",7,"209204_at"
1,2,"guarded_within_partition",8,"204825_at"
1,2,"guarded_within_partition",9,"214440_at"
1,2,"guarded_within_partition",10,"221524_s_at"
1,2,"guarded_within_partition",11,"210084_x_at"
1,2,"guarded_within_partition",12,"204623_at"
1,2,"guarded_within_partition",13,"203693_s_at"
