"permutation_id","is_identity","leaky_auroc","leaky_pr_auc","leaky_balanced_accuracy","leaky_mcc","leaky_sensitivity","leaky_specificity","guarded_auroc","guarded_pr_auc","guarded_balanced_accuracy","guarded_mcc","guarded_sensitivity","guarded_specificity","gap_auroc","gap_pr_auc","runtime_secs"
88,FALSE,0.882449094624111,0.676277678392406,0.718664130205031,0.515434652755359,0.480701754385965,0.956626506024096,0.455999436341858,0.160943361364813,0.48139928133587,-0.0586001606678767,0.0350877192982456,0.927710843373494,0.426449658282253,0.515334317027592,6.84669804573059
89,FALSE,0.868414006904813,0.637799668288512,0.70858169520186,0.483902337692735,0.470175438596491,0.946987951807229,0.480236736419362,0.175330127718357,0.500951173113507,0.00292950730570781,0.0701754385964912,0.931726907630522,0.388177270485451,0.462469540570155,6.706946849823
90,FALSE,0.875473825125063,0.63295356815059,0.675354047770027,0.435756789476186,0.396491228070175,0.95421686746988,0.53758895230043,0.23255491032047,0.517755231452124,0.0587571792693525,0.087719298245614,0.947791164658635,0.337884872824633,0.40039865783012,6.91094493865967
91,FALSE,0.808793067004861,0.562004791551081,0.67860917353625,0.433583332912642,0.407017543859649,0.950200803212851,0.443528499964771,0.158876172895842,0.488163179031917,-0.0356805602990047,0.0526315789473684,0.923694779116466,0.36526456704009,0.403128618655239,6.86791205406189
92,FALSE,0.892439935179315,0.694407900926171,0.729232720355105,0.514064658532762,0.512280701754386,0.946184738955823,0.49143944197844,0.208606759265105,0.502430775734517,0.00627284845392473,0.105263157894737,0.899598393574297,0.401000493200875,0.485801141661066,6.98601508140564
93,FALSE,0.849686465158882,0.581833628938569,0.678397801733249,0.41266635575025,0.421052631578947,0.93574297188755,0.445642217994787,0.165100756647382,0.470619319382794,-0.0925616174185779,0.0175438596491228,0.923694779116466,0.404044247164095,0.416732872291187,6.95014595985413
94,FALSE,0.906658211794548,0.761185198724502,0.757006975269499,0.572654566052938,0.56140350877193,0.952610441767068,0.49242584372578,0.206158723958831,0.517226801944621,0.0457965617902551,0.12280701754386,0.911646586345382,0.414232368068767,0.555026474765671,7.17316317558289
95,FALSE,0.886535616148807,0.638808212156924,0.707672796448954,0.466729745217001,0.47719298245614,0.938152610441767,0.487775664059747,0.175166728331413,0.476114986260833,-0.0645046731322475,0.0526315789473684,0.899598393574297,0.39875995208906,0.463641483825511,7.07720112800598
96,FALSE,0.859480025364617,0.655926139143896,0.719763263580638,0.509024937281658,0.487719298245614,0.951807228915663,0.576199534982034,0.221194959139848,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.283280490382583,0.434731180004048,8.03364610671997
97,FALSE,0.875727471288664,0.635472676908029,0.7142464595223,0.493235582589967,0.480701754385965,0.947791164658635,0.494257732685126,0.204416844102984,0.512470936377087,0.034825749431792,0.105263157894737,0.919678714859438,0.381469738603538,0.431055832805045,8.12150192260742
98,FALSE,0.810498132882407,0.586397389280378,0.691650813781442,0.479166285540897,0.421052631578947,0.962248995983936,0.444655816247446,0.193238002713447,0.483407313464384,-0.0535384824459315,0.0350877192982456,0.931726907630522,0.365842316634961,0.393159386566932,8.26048398017883
99,FALSE,0.888085676037485,0.716054535339043,0.737560769393363,0.546011340694912,0.519298245614035,0.955823293172691,0.566546889311633,0.200452165340541,0.49291904459945,-0.0201296299765371,0.0701754385964912,0.91566265060241,0.321538786725852,0.515602369998502,8.17300605773926
100,FALSE,0.873613753258649,0.629450421184105,0.704016064257028,0.465615828340723,0.466666666666667,0.94136546184739,0.44381032903544,0.167352464139147,0.511202705559078,0.0285062275810095,0.12280701754386,0.899598393574297,0.42980342422321,0.462097957044957,7.48296594619751
101,FALSE,0.842147537518495,0.585482124148442,0.67860917353625,0.434446166231958,0.407017543859649,0.950200803212851,0.51102656238991,0.217225294891442,0.498943140984993,-0.00318576431241113,0.0701754385964912,0.927710843373494,0.331120975128585,0.368256829256999,7.3289589881897
102,FALSE,0.894328189952795,0.679504635629851,0.715451278799408,0.499468617594777,0.480701754385965,0.950200803212851,0.459663214260551,0.176838980481402,0.494187275417459,-0.0187555193281926,0.0526315789473684,0.93574297188755,0.434664975692244,0.502665655148449,7.31624794006348
103,FALSE,0.880772211653633,0.685516470615687,0.742464595222997,0.53562794723007,0.540350877192982,0.944578313253012,0.445008102585781,0.169143981212801,0.501690974424012,0.00472213551617519,0.087719298245614,0.91566265060241,0.435764109067851,0.516372489402887,7.27714896202087
