"fold","rank","feature"
5,29,"209644_x_at"
5,30,"205696_s_at"
5,31,"209604_s_at"
5,32,"204623_at"
5,33,"221872_at"
5,34,"211466_at"
5,35,"204304_s_at"
5,36,"203702_s_at"
5,37,"212492_s_at"
5,38,"202341_s_at"
5,39,"202134_s_at"
5,40,"211084_x_at"
5,41,"206754_s_at"
5,42,"209204_at"
5,43,"211467_s_at"
5,44,"206194_at"
5,45,"207039_at"
5,46,"220540_at"
5,47,"221524_s_at"
5,48,"206392_s_at"
5,49,"203963_at"
5,50,"205009_at"
5,51,"203712_at"
5,52,"208451_s_at"
5,53,"222039_at"
5,54,"206869_at"
5,55,"216685_s_at"
5,56,"214428_x_at"
5,57,"209386_at"
5,58,"211235_s_at"
5,59,"214164_x_at"
5,60,"211714_x_at"
5,61,"206391_at"
5,62,"209623_at"
5,63,"210735_s_at"
5,64,"215034_s_at"
5,65,"213523_at"
5,66,"216092_s_at"
5,67,"218259_at"
5,68,"204822_at"
5,69,"201231_s_at"
5,70,"203571_s_at"
5,71,"202870_s_at"
5,72,"201663_s_at"
5,73,"215867_x_at"
5,74,"205081_at"
5,75,"202589_at"
5,76,"202107_s_at"
5,77,"202263_at"
5,78,"221986_s_at"
5,79,"204962_s_at"
5,80,"204012_s_at"
5,81,"201938_at"
5,82,"218164_at"
5,83,"216381_x_at"
5,84,"218902_at"
5,85,"209603_at"
5,86,"210024_s_at"
5,87,"209408_at"
5,88,"212196_at"
5,89,"209421_at"
5,90,"209122_at"
5,91,"219874_at"
5,92,"209832_s_at"
5,93,"209781_s_at"
5,94,"200934_at"
5,95,"220295_x_at"
5,96,"209026_x_at"
5,97,"201555_at"
5,98,"221253_s_at"
5,99,"221012_s_at"
5,100,"202932_at"
